# Date: 2019/01/15
# Synergy Agility kernel input data
61	1.20327	1.19147	1.18136	1.18285	1.16967	1.1595	1.14442	1.1374	1.12079	1.11175	1.09781	1.09416
62	1.1968	1.18401	1.17716	1.17502	1.16661	1.15543	1.1402	1.1374	1.11769	1.10926	1.0959	1.0904
63	1.1924	1.17847	1.17141	1.17275	1.16328	1.14982	1.13654	1.12977	1.11329	1.10727	1.09208	1.08757
64	1.18647	1.17292	1.16747	1.16942	1.15876	1.14894	1.13204	1.12759	1.11123	1.10378	1.08874	1.08757
65	1.17961	1.16949	1.16314	1.16323	1.15166	1.14604	1.12895	1.12704	1.10761	1.10005	1.08683	1.08569
66	1.17743	1.16298	1.1601	1.15991	1.14906	1.14026	1.12498	1.12432	1.10192	1.09607	1.08635	1.08475
67	1.16874	1.15481	1.15616	1.15622	1.14113	1.13506	1.11911	1.11625	1.10089	1.09358	1.08015	1.08051
68	1.16295	1.15264	1.15022	1.15026	1.13602	1.13111	1.11506	1.11668	1.10089	1.09009	1.07872	1.07815
69	1.16206	1.14794	1.14205	1.14285	1.13483	1.13089	1.11371	1.11014	1.09572	1.08761	1.07824	1.07368
70	1.15393	1.14257	1.13645	1.14182	1.13138	1.12808	1.11169	1.10714	1.08952	1.08611	1.07586	1.07392
71	1.14975	1.13869	1.13178	1.13573	1.128	1.11917	1.10488	1.10551	1.09004	1.08014	1.07061	1.06968
72	1.14653	1.13113	1.12965	1.13152	1.11829	1.11442	1.09965	1.10251	1.08538	1.07914	1.07109	1.07133
73	1.13623	1.12753	1.12247	1.12906	1.11716	1.11187	1.09701	1.09787	1.08177	1.07765	1.0687	1.06591
74	1.13333	1.12215	1.11991	1.12314	1.1116	1.10455	1.09225	1.09378	1.08022	1.07417	1.06441	1.06262
75	1.12389	1.12024	1.11468	1.11811	1.1093	1.10354	1.09088	1.088	1.07649	1.07068	1.06393	1.06045
76	1.12236	1.11603	1.10968	1.11383	1.10203	1.09764	1.0861	1.08424	1.07634	1.06919	1.06155	1.06073
77	1.112	1.10983	1.10651	1.10992	1.09937	1.09439	1.08231	1.08441	1.07014	1.0672	1.05773	1.05744
78	1.10996	1.10564	1.09981	1.10671	1.09392	1.08808	1.07956	1.07792	1.06833	1.06471	1.05677	1.05461
79	1.10508	1.10085	1.096	1.10067	1.08969	1.08371	1.07476	1.07961	1.06574	1.05948	1.0532	1.05179
80	1.09762	1.09616	1.09206	1.0932	1.08521	1.08465	1.07103	1.07328	1.06213	1.05699	1.04986	1.04849
81	1.09438	1.09153	1.08741	1.08898	1.08109	1.07719	1.06917	1.06947	1.05696	1.05401	1.04699	1.04637
82	1.09003	1.08329	1.07901	1.08445	1.07496	1.07391	1.06231	1.06614	1.05489	1.05127	1.04556	1.04426
83	1.0852	1.07767	1.07688	1.07958	1.07028	1.06665	1.05657	1.06056	1.05127	1.04729	1.04389	1.04355
84	1.07941	1.07483	1.07229	1.07454	1.06992	1.06568	1.05498	1.06009	1.04817	1.04629	1.04103	1.04025
85	1.07538	1.06948	1.06735	1.07158	1.06548	1.06169	1.05089	1.05429	1.0461	1.04729	1.03912	1.03766
86	1.07037	1.06621	1.05962	1.06547	1.05941	1.05702	1.04525	1.04995	1.04559	1.03833	1.03626	1.03296
87	1.06565	1.06009	1.0549	1.06111	1.05422	1.0523	1.04349	1.04907	1.04042	1.03654	1.03244	1.03202
88	1.06025	1.05539	1.05221	1.0571	1.05241	1.04675	1.03554	1.04438	1.03602	1.0341	1.02767	1.03296
89	1.0529	1.04868	1.04941	1.05167	1.04878	1.04475	1.03706	1.03833	1.03297	1.03235	1.02529	1.0306
90	1.05365	1.04534	1.04541	1.04804	1.04454	1.0414	1.0316	1.03264	1.02848	1.02713	1.02648	1.02401
91	1.04311	1.03886	1.03675	1.04004	1.03857	1.03353	1.0275	1.03095	1.02445	1.02658	1.02075	1.02119
92	1.04174	1.03543	1.03423	1.0384	1.03333	1.03129	1.0242	1.02686	1.02481	1.02339	1.01966	1.01883
93	1.03353	1.03108	1.03136	1.03538	1.02929	1.02613	1.01968	1.02343	1.02228	1.01991	1.01622	1.01789
94	1.03152	1.02892	1.02662	1.03009	1.02639	1.02349	1.01747	1.01876	1.01582	1.01742	1.01193	1.01601
95	1.02661	1.0228	1.02421	1.02508	1.02312	1.01824	1.01451	1.01625	1.01358	1.01419	1.01145	1.01224
96	1.01961	1.02157	1.02033	1.01845	1.01743	1.01641	1.00945	1.01205	1.01051	1.00896	1.0074	1.00942
97	1.01808	1.01384	1.0129	1.01675	1.01053	1.01269	1.00491	1.00945	1.01044	1.00821	1.00596	1.00895
98	1.01068	1.00953	1.01051	1.01309	1.00978	1.00699	1.00146	1.00547	1.00631	1.00468	1.00191	1.0064
99	1.00665	1.00231	1.00437	1.00793	1.00422	1.00213	1.00116	1.00127	1.00362	1.00348	1.00172	1.00424
100	1	1	1	1	1	1	1	1	1	1	1	1
